SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1565.00,1611.70,1554.30,1591.85,1591.85,1571.00,590,6606,10501323.00,
500003,AEGIS LOGIS ,A ,Q,224.00,226.00,216.70,220.25,220.00,225.85,419,7171,1596035.00,
500008,AMAR RAJA BA,A ,Q,635.05,642.40,630.00,637.30,640.00,634.25,346,8554,5456439.00,
500009,A.SARABHAI  ,X ,Q,14.67,15.00,14.20,14.23,14.30,14.43,80,22622,325741.00,
500010,HDFC        ,A ,Q,2194.00,2231.50,2189.90,2227.45,2231.00,2182.20,3524,82391,182716331.00,
500012,ANDHRA PETRO,X ,Q,57.80,58.20,55.95,56.15,56.15,57.75,266,47447,2683037.00,
500013,ANSAL INFRAS,B ,Q,8.52,8.66,8.35,8.48,8.46,8.60,53,9502,80533.00,
500014,APPLE FINANC,XT,Q,1.54,1.61,1.54,1.61,1.61,1.54,13,1657,2591.00,
500020,BOM DYEING  ,A ,Q,127.65,127.75,123.00,125.40,125.40,127.40,2023,188184,23495084.00,
500024,ASSAMCO     ,T ,Q,1.54,1.54,1.54,1.54,1.54,1.62,48,85660,131916.00,
500027,ATUL LTD.   ,A ,Q,4040.00,4090.00,3964.10,3998.30,3996.20,4047.05,512,2670,10667534.00,
500028,ATV PROJECTS,XT,Q,4.34,4.35,4.34,4.34,4.34,4.56,7,1426,6193.00,
500029,AUTOLITE(I) ,Z ,Q,28.65,31.25,28.65,28.75,28.65,30.15,18,2964,86152.00,
500030,AUTORID.FIN ,T ,Q,0.47,0.47,0.47,0.47,0.47,0.49,1,150,70.00,
500031,BAJAJ ELECT.,A ,Q,541.20,550.30,535.80,539.10,538.00,538.65,705,14071,7620990.00,
500032,BAJAJHIND   ,B ,Q,9.00,9.15,8.91,8.96,8.91,8.94,202,207683,1871623.00,
500033,FORCE MOTR  ,A ,Q,1540.00,1570.00,1525.00,1553.00,1553.00,1554.55,880,9713,15063175.00,
500034,BAJFINANCE  ,A ,Q,3465.00,3529.95,3465.00,3510.75,3519.00,3469.70,6588,85822,301150390.00,
500038,BALRAM.CHINI,A ,Q,154.80,157.50,153.40,156.45,156.45,153.95,987,98893,15470847.00,
500039,BANCO PROD. ,B ,Q,139.00,142.00,134.65,140.30,140.30,140.35,81,2052,285204.00,
500040,CENTURY TEXT,A ,Q,1027.00,1066.55,1019.00,1057.15,1057.15,1023.40,1115,37712,39510062.00,
500041,BANNARI AMAN,B ,Q,1449.00,1509.00,1404.05,1465.15,1465.00,1481.35,9,22,32199.00,
500042,BASF INDIA  ,A ,Q,1372.00,1389.50,1365.00,1380.05,1371.25,1383.55,101,491,676122.00,
500043,BATA INDIA  ,A ,Q,1325.25,1371.55,1316.20,1362.80,1362.80,1323.65,2336,83727,113168998.00,
500048,BEML LTD    ,A ,Q,977.00,1005.00,964.40,1000.55,1000.55,974.25,2255,98510,97290324.00,
500049,BHARAT ELECT,A ,Q,111.50,112.70,110.65,111.35,111.35,111.55,2510,543480,60563903.00,
500052,BHANSALI ENG,B ,Q,70.05,74.40,70.05,73.90,73.90,70.70,1213,152817,11119519.00,
500055,TATASTLBSL  ,B ,Q,30.60,31.15,30.15,30.80,30.80,30.40,355,93489,2877428.00,
500058,BIHAR SPONGE,XT,Q,0.95,1.03,0.95,0.95,0.95,0.99,11,1961,1902.00,
500059,BINANI IND. ,Z ,Q,27.75,28.05,26.40,28.00,28.00,27.75,74,8913,242607.00,
500060,BIRLACABLE  ,B ,Q,113.95,115.95,112.05,113.25,112.05,113.05,256,12460,1420818.00,
500067,BLUE STAR   ,A ,Q,807.00,812.00,798.00,800.40,798.00,806.30,308,2628,2115434.00,
500068,DISA INDIA  ,X ,Q,5757.00,5900.00,5757.00,5900.00,5900.00,5800.65,3,10,58321.00,
500069,BNK CAPITAL ,X ,Q,85.25,85.75,85.25,85.75,85.75,85.25,2,201,17135.00,
500074,BPL LTD.    ,B ,Q,25.30,25.95,25.00,25.20,25.05,26.05,126,10480,265612.00,
500078,OAL         ,X ,Q,215.00,223.00,212.75,215.00,217.00,219.95,42,2758,597371.00,
500083,CENTURY EXT ,B ,Q,5.01,5.01,4.78,4.87,5.00,5.00,28,10174,49809.00,
500084,CESC LTD.   ,A ,Q,749.00,776.90,740.10,768.75,768.75,745.05,3817,71957,55232747.00,
500085,CHAMBAL FERT,A ,Q,189.00,191.60,181.15,182.20,182.20,189.15,828,30133,5592382.00,
500086,EXIDE IND.  ,A ,Q,213.00,215.35,210.40,214.50,214.50,213.00,1008,296691,63130917.00,
500087,CIPLA LTD.  ,A ,Q,555.10,569.90,552.85,568.30,569.90,559.10,771,38832,21874709.00,
500092,CRISIL LTD  ,A ,Q,1472.80,1514.00,1450.00,1490.30,1514.00,1452.80,115,926,1355216.00,
500093,CGPOWER     ,A ,Q,35.95,35.95,34.65,35.80,35.80,35.45,782,389366,13737898.00,
500096,DABUR (I)   ,A ,Q,397.00,409.55,397.00,408.55,409.00,396.90,1743,103269,41931528.00,
500097,DALMIASUG   ,B ,Q,115.55,117.25,113.60,115.10,115.10,115.40,292,20268,2337407.00,
500101,ARVIND Ltd  ,A ,Q,74.50,76.15,73.05,75.65,75.65,74.55,464,93431,7005697.00,
500102,BALARPUR IND,B ,Q,2.52,2.55,2.44,2.51,2.55,2.56,95,119192,295780.00,
500103,BHEL        ,A ,Q,70.10,72.20,69.55,71.55,71.55,70.10,3523,2552960,182224467.00,
500104,HIND.PETRO  ,A ,Q,331.60,333.45,321.30,324.25,324.25,324.15,5241,505091,165251909.00,
500106,IFCI LTD    ,A ,Q,10.14,10.14,9.52,9.61,9.61,9.86,2140,315404,3056386.00,
500108,MAHA.TELE   ,B ,Q,9.70,10.30,9.44,9.99,9.99,9.61,900,523208,5202123.00,
500109,MRPL        ,A ,Q,64.05,64.80,63.05,63.20,63.20,63.20,395,91026,5771860.00,
500110,CHENNAI PET.,A ,Q,224.10,227.00,220.45,223.25,225.90,220.60,543,31312,6978824.00,
500111,REL.CAP.    ,A ,Q,121.55,123.85,118.20,120.70,120.70,121.55,7214,1758700,213029772.00,
500112,STATE BANK  ,A ,Q,352.05,355.55,349.80,354.90,354.90,352.55,9413,1028901,362874060.00,
500113,STEEL AUTH. ,A ,Q,50.00,51.45,49.15,51.10,51.10,50.05,2327,2221549,112110374.00,
500114,TITAN       ,A ,Q,1234.00,1269.50,1227.50,1264.60,1266.00,1233.55,5313,140619,175911412.00,
500116,IDBI BANK L ,A ,Q,37.60,37.75,36.45,36.90,36.90,37.65,1044,652016,24037397.00,
500117,DCW LTD.    ,B ,Q,19.30,19.30,18.70,18.75,18.70,19.65,121,21981,418525.00,
500119,DHAMPUR SUGA,B ,Q,226.50,227.85,224.40,226.50,226.50,224.65,1114,56068,12683710.00,
500120,DIAMINES&CHM,X ,Q,125.00,125.00,118.25,119.15,118.60,123.20,56,4234,514826.00,
500123,ELANTAS     ,B ,Q,2200.00,2224.95,2170.00,2183.10,2183.00,2202.55,36,182,398265.00,
500124,DR.REDDY'S  ,A ,Q,2673.70,2730.20,2653.40,2718.90,2715.00,2677.70,1841,28954,78371480.00,
500125,E.I.D.PAR   ,A ,Q,188.90,192.80,187.00,189.85,189.85,186.70,455,18732,3557827.00,
500126,MERCK LTD   ,A ,Q,4003.00,4079.90,3949.95,4007.40,4007.40,4087.90,763,2309,9246681.00,
500128,ELEC.CASTING,B ,Q,18.30,18.45,18.05,18.20,18.30,18.35,25,4359,79171.00,
500132,EMPEE SUGARS,XT,Q,1.08,1.08,1.08,1.08,1.08,1.08,2,66,71.00,
500133,ESAB INDIA  ,B ,Q,1185.00,1185.00,1148.05,1166.35,1170.00,1177.90,163,853,991574.00,
500135,ESSEL PROP  ,B ,Q,130.00,130.75,129.20,130.00,130.00,130.05,75,4492,583060.00,
500136,ESTER INDUS.,B ,Q,34.90,35.15,34.50,34.65,34.65,34.45,40,3985,138878.00,
500139,FEDDERELEC  ,Z ,Q,4.60,4.98,4.60,4.60,4.60,4.84,24,6830,31453.00,
500141,FERRO ALLOYS,X ,Q,4.11,4.48,4.11,4.18,4.18,4.26,76,33439,141651.00,
500142,FGP LTD.    ,XT,Q,3.02,3.02,3.02,3.02,3.02,3.07,1,500,1510.00,
500144,FINOL. CABLE,A ,Q,453.70,458.00,450.10,455.80,453.65,454.25,90,1079,490133.00,
500147,CMI FPE     ,X ,Q,1085.05,1209.50,1085.05,1187.35,1187.35,1112.85,135,3829,4476146.00,
500148,UFLEX LTD   ,A ,Q,265.75,273.80,263.15,268.45,268.45,265.45,361,8826,2351716.00,
500153,GANESH BENZO,X ,Q,45.00,45.00,42.90,43.15,43.00,45.00,211,24139,1056566.00,
500155,GARDEN SILK ,B ,Q,19.30,19.30,17.15,18.15,18.15,18.80,9,300,5433.00,
500159,METROGLOBL  ,X ,Q,56.10,58.00,56.10,57.20,57.00,55.95,5,154,8798.00,
500160,GTL LTD.    ,B ,Q,3.96,3.96,3.72,3.85,3.85,3.79,17,28645,107719.00,
500163,GODFREY PH  ,A ,Q,932.10,940.00,906.55,912.90,912.90,939.95,531,11348,10404944.00,
500164,GODREJ IND  ,A ,Q,497.80,501.55,494.10,499.10,500.70,491.15,473,14102,7024613.00,
500165,KANSAI NERO ,A ,Q,468.00,470.00,449.20,465.20,465.20,460.70,715,9308,4298627.00,
500166,GOODRICKE   ,X ,Q,200.00,202.90,196.30,201.20,202.90,199.30,77,5248,1046063.00,
500168,GOODYEAR (I),B ,Q,956.00,956.95,931.15,934.25,941.95,946.05,390,2256,2138543.00,
500171,GHCL LTD    ,A ,Q,260.25,263.85,256.40,259.20,259.20,261.20,219,7921,2054629.00,
500173,GUJ.FLOURO  ,A ,Q,1051.00,1057.15,1031.25,1053.95,1050.00,1047.60,125,990,1039020.00,
500179,HCL INFOSYS ,B ,Q,15.60,15.75,15.25,15.40,15.40,15.40,147,34530,536702.00,
500180,HDFC BANK   ,A ,Q,2434.50,2459.20,2426.00,2454.55,2454.05,2424.90,8423,91829,224725267.00,
500182,HEROMOTOCO  ,A ,Q,2694.00,2873.95,2694.00,2842.50,2842.50,2681.40,7113,121593,341733876.00,
500183,HIMACHAL FUT,A ,Q,21.05,22.10,20.80,21.95,21.95,21.15,1348,480475,10391700.00,
500184,HSCL        ,A ,Q,101.90,104.50,100.25,103.65,103.65,101.15,766,52266,5356690.00,
500185,HIND.CONSTN.,A ,Q,12.70,12.97,12.40,12.65,12.65,12.66,961,163285,2068668.00,
500186,HIND.OIL EXP,B ,Q,128.50,128.50,125.50,126.15,126.15,129.10,439,28251,3579551.00,
500187,HSIL        ,B ,Q,281.80,289.85,280.35,286.80,285.80,284.40,177,3846,1100715.00,
500188,HINDUS.ZI   ,A ,Q,245.10,249.35,245.10,248.65,248.55,245.85,646,43824,10846123.00,
500189,HINDUJA VENT,B ,Q,396.00,396.00,392.65,392.80,393.35,395.10,6,41,16136.00,
500191,HMT LTD.    ,Z ,Q,17.25,18.55,17.25,17.95,17.95,18.00,25,3453,61850.00,
500192,PRAG BOSIMI ,XT,Q,3.03,3.03,3.03,3.03,3.03,3.15,2,300,909.00,
500193,HOTEL LEELA.,B ,Q,8.90,9.20,8.85,8.92,8.91,8.82,44,10993,98933.00,
500199,I.G.PETRO   ,B ,Q,285.00,290.00,280.40,287.20,288.00,288.90,18,421,120642.00,
500201,IND.GLYCOLS ,B ,Q,264.95,266.65,260.50,263.90,264.35,264.25,552,19234,5070815.00,
500202,IND.LEAS.DEV,XT,Q,8.83,8.83,8.83,8.83,8.83,8.45,6,2528,22322.00,
500207,INDO RAMA   ,B ,Q,30.00,31.40,29.75,30.00,30.00,30.95,14,2888,87367.00,
500209,INFOSYS LTD ,A ,Q,734.00,750.70,729.95,744.65,744.65,736.85,9785,246396,183130982.00,
500210,INGERSOLL   ,B ,Q,640.00,648.95,631.15,636.80,637.00,650.55,191,2095,1335236.00,
500211,INSILCO LTD.,X ,Q,16.15,16.20,15.50,15.75,16.00,16.10,39,5758,91072.00,
500213,INTER.TRAVEL,X ,Q,127.90,127.90,122.10,126.00,126.00,122.00,31,861,108015.00,
500214,ION EXCHANGE,X ,Q,489.00,508.45,489.00,497.75,498.00,484.25,989,111454,56053282.00,
500215,AGRO TECH FO,B ,Q,557.80,557.80,518.60,525.00,523.10,527.70,42,187,98966.00,
500219,JAIN IRRIG  ,A ,Q,49.90,50.50,48.50,49.80,50.50,49.85,2906,1515621,74627815.00,
500220,JASCH INDUST,X ,Q,52.70,53.85,52.20,53.15,52.90,53.20,40,4201,221857.00,
500223,JCT LTD     ,X ,Q,1.46,1.47,1.39,1.42,1.41,1.39,56,24692,35339.00,
500227,JINDAL POLYF,B ,Q,245.35,248.10,241.65,242.70,242.70,249.85,127,3299,808578.00,
500228,JSWSL       ,A ,Q,272.00,276.10,269.30,274.55,274.55,271.55,1946,448837,123145981.00,
500231,UMANG DAIR  ,B ,Q,47.55,49.50,47.55,49.50,49.50,50.50,6,610,29814.00,
500233,KAJARIA CER.,A ,Q,637.15,644.00,637.15,641.45,639.50,635.50,491,28227,18082618.00,
500234,KAKATIYA CEM,B ,Q,207.90,207.90,203.10,204.55,204.55,203.20,121,3933,809144.00,
500235,KALYANI STEL,B ,Q,223.00,228.00,218.10,224.05,224.05,222.05,297,15443,3445733.00,
500238,WHIRLPOOL   ,A ,Q,1459.25,1480.00,1459.25,1473.20,1468.05,1465.15,105,1046,1538409.00,
500239,KG DENIM    ,X ,Q,41.10,43.00,41.10,42.75,43.00,42.75,9,2095,89143.00,
500240,KINETIC ENG.,X ,Q,39.35,39.35,33.30,33.90,33.90,36.10,47,3492,118736.00,
500241,KIRL.BROS.  ,B ,Q,180.15,188.30,178.00,187.20,184.90,184.00,174,9207,1678144.00,
500243,KIRL INDUS  ,B ,Q,810.00,820.00,803.15,812.75,811.00,839.05,16,99,80265.00,
500245,KIRL.FERROUS,B ,Q,86.40,90.00,86.05,87.75,87.20,88.40,222,40852,3556036.00,
500246,ENVAIN ELECT,X ,Q,33.00,35.90,33.00,35.90,35.90,34.20,6,192,6530.00,
500247,KOTAK MAH.BK,A ,Q,1524.00,1535.00,1506.60,1530.85,1530.85,1519.70,3607,51772,78991623.00,
500249,KSB         ,B ,Q,690.00,725.00,690.00,719.80,720.00,694.95,26,268,191362.00,
500250,L.G.BALKRISH,B ,Q,380.00,380.00,360.00,361.40,360.00,373.75,70,739,267712.00,
500251,TRENT LTD.  ,A ,Q,394.00,415.00,391.25,412.25,412.25,391.45,1724,47660,19440598.00,
500252,LAXMIMACH   ,A ,Q,5695.00,5695.00,5490.00,5507.40,5535.00,5599.55,158,387,2164790.00,
500253,LIC HOUS.FIN,A ,Q,558.00,562.45,555.55,558.70,559.95,556.60,1133,33075,18475698.00,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,3,1006,191.00,
500257,LUPIN LTD.  ,A ,Q,745.15,749.35,742.00,745.10,742.00,745.30,740,31896,23765750.00,
500259,LYKA LABS   ,T ,Q,25.85,26.55,25.35,26.10,25.60,26.60,46,5620,144648.00,
500260,RAMCOCEM    ,A ,Q,810.00,826.85,810.00,823.70,817.70,815.30,414,6122,5021963.00,
500264,MAFATLAL IND,X ,Q,98.00,101.00,98.00,100.00,100.00,97.05,33,2288,229079.00,
500265,MAH.SEAMLESS,B ,Q,456.10,456.90,444.10,445.95,445.00,451.30,214,4265,1924273.00,
500266,MAH.SCOOTER ,B ,Q,4350.00,4380.00,4340.80,4362.40,4362.40,4298.25,103,972,4242207.00,
500267,MAJESTIC AUT,X ,Q,190.00,190.00,180.90,184.30,183.95,183.40,115,9428,1723143.00,
500268,MANALI PETRO,B ,Q,25.35,25.35,24.50,24.85,24.85,25.25,413,86869,2160594.00,
500271,MFSL        ,A ,Q,450.45,464.20,434.50,445.80,445.80,449.50,1302,49472,22404568.00,
500277,MID INDIA IN,XT,Q,0.38,0.38,0.38,0.38,0.38,0.37,1,100,38.00,
500279,MIRC ELECT  ,B ,Q,19.80,20.25,19.50,19.65,19.65,20.15,88,10958,215660.00,
500280,CENTURY ENKA,B ,Q,228.00,229.40,227.05,227.65,227.05,228.00,50,1473,336402.00,
500284,LORDS CHLORO,XT,Q,54.10,56.00,54.10,54.10,54.10,56.90,25,1589,86930.00,
500285,SPICEJET LTD,A ,Q,150.00,156.90,148.00,152.05,152.05,145.95,30596,5938529,907876347.00,
500288,MOREPEN LAB.,B ,Q,20.25,21.10,19.75,20.50,20.50,20.20,406,109034,2233492.00,
500290,MRF LTD.    ,A ,Q,55222.00,56435.55,55222.00,56050.40,56050.40,55260.00,221,1805,101561502.00,
500292,HEIDEL CEM  ,A ,Q,206.15,208.20,204.05,206.80,206.80,207.80,564,34642,7176269.00,
500294,NCC         ,A ,Q,97.70,101.00,94.45,99.20,99.20,97.85,11805,3104982,305602748.00,
500295,VEDL        ,A ,Q,160.65,164.50,159.40,163.95,163.95,160.65,2538,442630,71978957.00,
500296,NAHAR SPG.  ,B ,Q,80.25,82.55,80.20,81.85,81.90,81.55,29,1722,140925.00,
500298,NAT.PEROXIDE,B ,Q,2420.05,2522.50,2420.05,2488.65,2488.65,2461.75,852,4970,12340988.00,
500300,GRASIM IND. ,A ,Q,888.00,896.90,882.10,895.20,895.20,887.10,810,39102,34904064.00,
500302,PEL         ,A ,Q,2224.00,2235.00,2197.80,2224.40,2226.60,2222.70,635,7639,16936707.00,
500304,NIIT LTD.   ,B ,Q,104.75,106.75,103.55,104.85,104.85,105.10,890,91373,9610178.00,
500306,JAYKAY      ,X ,Q,5.60,6.00,5.55,5.70,5.70,5.57,14,4727,26891.00,
500307,NIRLON      ,B ,Q,209.90,209.90,203.50,206.60,206.60,206.65,15,1202,247054.00,
500312,ONGC CORPN  ,A ,Q,172.55,173.35,167.80,172.30,172.30,171.85,3368,542051,92245732.00,
500313,OIL COUNTRY ,B ,Q,11.55,11.80,11.49,11.60,11.60,11.55,9,254,2943.00,
500314,ORIENT HOTEL,B ,Q,41.90,42.50,41.50,41.95,41.80,43.30,13,2465,102733.00,
500315,ORINTAL BANK,A ,Q,99.30,99.65,96.60,98.35,98.35,99.30,781,174587,17078686.00,
500317,OSWAL AGRO. ,B ,Q,7.94,7.94,6.70,7.16,7.35,7.19,64,5092,36390.00,
500319,INDIAN SUCRO,X ,Q,21.35,21.40,19.60,20.95,20.95,20.40,17,1463,30083.00,
500322,PANYAM CEMEN,Z ,Q,8.53,8.53,8.53,8.53,8.53,8.70,1,300,2559.00,
500325,RELIANCE    ,A ,Q,1335.00,1365.00,1322.10,1358.30,1358.30,1329.75,14192,511401,688348383.00,
500327,PILITA      ,B ,Q,8.95,8.95,8.55,8.78,8.78,8.68,169,305354,2672908.00,
500329,PENTAMED.G  ,XT,Q,0.31,0.33,0.31,0.31,0.31,0.32,26,13706,4337.00,
500330,RAYMOND     ,A ,Q,836.00,845.00,824.75,840.75,844.00,828.35,671,23342,19501853.00,
500331,PIDILITE    ,A ,Q,1295.00,1303.30,1278.85,1295.95,1295.95,1289.05,962,50067,64894704.00,
500333,PIX TRANS   ,X ,Q,190.00,191.00,186.00,189.95,190.50,191.95,66,4607,868786.00,
500335,BIRLA CORPN.,A ,Q,652.00,674.00,652.00,667.85,665.00,651.65,195,2597,1718160.00,
500336,SURYA ROSHNI,B ,Q,252.60,256.50,248.25,253.75,253.75,252.35,156,5623,1417967.00,
500337,PRIME SECUR.,B ,Q,40.50,41.50,40.05,40.45,40.50,40.60,43,59030,2435470.00,
500338,PRSMJOHNSN  ,A ,Q,98.00,99.85,96.00,99.40,99.40,96.70,801,82716,8104591.00,
500339,RAIN        ,A ,Q,114.00,114.60,111.50,113.20,113.20,114.05,1012,85937,9697447.00,
500343,AMJLAND     ,B ,Q,19.10,19.95,19.10,19.35,19.35,19.10,7,2151,41399.00,
500346,PUN.COMMUNI.,B ,Q,17.20,17.20,16.10,16.30,17.20,16.60,3,120,1954.00,
500350,RSWM  LTD   ,B ,Q,159.20,160.40,156.00,158.65,158.20,162.00,45,634,100660.00,
500354,RAJSH.SUGAR ,B ,Q,24.35,26.90,23.50,25.15,25.00,24.35,44,6733,171216.00,
500355,RALLIS INDIA,A ,Q,151.60,152.05,149.20,151.70,151.70,151.40,189,7406,1120488.00,
500356,RAMANEWS    ,B ,Q,21.00,21.20,20.60,20.80,21.20,21.10,35,2333,48560.00,
500357,RAMA PAPER  ,X ,Q,19.50,19.50,17.60,17.60,17.60,19.55,103,34715,613862.00,
500360,RAPICUT CARB,X ,Q,45.10,47.85,44.20,44.25,44.20,44.80,50,8126,361629.00,
500365,RMGALLOY    ,X ,Q,15.95,15.95,14.75,14.90,14.90,15.80,119,145924,2190601.00,
500366,ROLTA (I)   ,T ,Q,6.50,6.69,6.40,6.56,6.46,6.54,123,31722,207661.00,
500367,RUBFILA INT.,X ,Q,45.00,45.00,38.00,41.70,42.45,41.95,144,77526,3166634.00,
500368,RUCHI SOYA  ,T ,Q,6.92,7.10,6.92,6.92,6.92,7.28,277,158355,1096261.00,
500370,SALORA INT. ,X ,Q,13.95,13.95,13.95,13.95,13.95,14.00,2,150,2092.00,
500378,JINDAL SAW  ,A ,Q,88.50,90.70,86.25,88.80,88.80,87.80,435,51950,4642698.00,
500380,JK LAKSHMI  ,A ,Q,390.95,391.00,383.00,386.00,388.00,386.10,272,5390,2083575.00,
500387,SHREE CEMENT,A ,Q,21599.00,21998.10,21599.00,21872.80,21998.10,21561.70,159,375,8163034.00,
500390,REL INFRA   ,A ,Q,104.00,104.00,98.45,99.00,99.00,103.70,6960,1583005,158613915.00,
500399,STEELCO GUJ.,XT,Q,3.85,3.90,3.78,3.78,3.78,3.85,9,1560,6032.00,
500400,TATA POWER  ,A ,Q,68.95,69.10,67.75,68.40,68.60,68.85,1338,355929,24351514.00,
500402,SPMLINFRA   ,B ,Q,27.00,28.00,26.05,27.00,27.00,25.60,36,4191,113432.00,
500403,SUNDARAM FAS,A ,Q,542.00,545.30,535.00,538.75,536.95,545.30,223,2700,1456489.00,
500404,SUNFLAG IRON,B ,Q,41.85,42.50,40.60,40.85,41.05,42.25,179,16222,669797.00,
500405,SUPREME PET ,B ,Q,219.25,222.10,217.40,221.50,221.50,223.95,59,1398,307077.00,
500407,SWARAJ ENGIN,B ,Q,1387.00,1450.00,1379.00,1414.45,1420.05,1412.20,115,767,1098544.00,
500408,TATA ELXSI  ,A ,Q,870.00,884.60,863.00,880.15,880.15,872.25,903,36175,31735300.00,
500410,ACC LTD     ,A ,Q,1687.00,1727.80,1673.55,1724.95,1724.95,1684.95,1212,29139,49761953.00,
500411,THERMAX     ,A ,Q,1022.50,1029.00,1000.00,1012.95,1009.30,1022.70,220,962,972629.00,
500412,THIRUMALAI  ,B ,Q,91.50,91.50,89.00,89.35,89.05,89.25,418,34188,3070707.00,
500413,THOMAS COOK ,A ,Q,232.90,238.00,232.30,236.00,233.55,233.75,358,4128,971254.00,
500414,TIMEX GROUP ,X ,Q,46.05,48.85,45.20,46.10,46.00,46.40,78,13468,623659.00,
500418,TOKYO PLAST ,B ,Q,51.00,51.00,48.30,48.60,48.60,49.45,16,439,21682.00,
500420,TORRENT PHAR,A ,Q,1553.50,1573.05,1511.30,1530.25,1544.50,1562.85,807,32248,50055797.00,
500425,AMBUJA CEME ,A ,Q,232.00,237.50,229.95,236.80,235.40,230.65,1004,108275,25447349.00,
500426,UTLINDS     ,X ,Q,18.70,19.20,17.85,18.40,18.95,18.55,59,19224,355977.00,
500429,UNIPHOS ENT.,B ,Q,100.75,103.00,100.10,100.60,100.55,103.50,13,4736,478973.00,
500439,VARD HOLDNG ,B ,Q,2140.00,2140.00,2100.00,2100.00,2100.00,2100.05,6,23,48453.00,
500440,HINDALCO    ,A ,Q,196.40,200.05,194.45,199.45,199.45,196.60,1306,223585,44188597.00,
500444,WEST COAS PA,B ,Q,272.70,272.70,263.00,269.25,269.75,274.40,501,12817,3421483.00,
500449,HIND.ORG.CHM,B ,Q,22.95,23.50,22.20,23.00,22.95,22.95,91,14048,323191.00,
500456,PAS.ACRYLON ,X ,Q,18.80,18.80,18.00,18.10,18.10,18.20,50,11183,202131.00,
500459,PROCTER &GAM,A ,Q,10985.00,11016.00,10790.00,10994.10,11000.00,10992.15,97,179,1962799.00,
500460,MUKAND LTD. ,B ,Q,54.00,54.40,54.00,54.00,54.00,54.00,9,450,24324.00,
500464,UCAL FUEL   ,B ,Q,170.00,170.00,168.00,168.05,168.00,171.25,63,2263,382383.00,
500467,HARR.MALAYAL,B ,Q,68.80,69.70,68.20,68.55,68.25,69.80,56,1693,116150.00,
500469,FEDERAL BANK,A ,Q,107.80,108.10,106.40,107.55,107.55,107.15,1260,435335,46717722.00,
500470,TATA STEEL  ,A ,Q,487.00,501.20,485.35,496.50,496.50,487.90,6217,449047,222607179.00,
500472,SKF INDIA   ,A ,Q,1875.00,1906.65,1875.00,1892.25,1889.00,1889.05,79,284,539156.00,
500477,ASHOK LEYL. ,A ,Q,89.50,92.15,87.90,91.75,91.75,88.90,6538,2369030,215219182.00,
500480,CUMMINS (I) ,A ,Q,784.00,793.00,767.95,772.00,772.00,774.55,600,14168,10995555.00,
500483,TATA COMM   ,A ,Q,534.20,541.70,534.20,538.50,538.20,538.60,266,7157,3854804.00,
500488,ABBOTT (I)  ,A ,Q,7784.50,7905.00,7728.15,7886.30,7856.10,7800.30,145,370,2909628.00,
500490,BAJ HOLD INV,A ,Q,3511.55,3511.60,3470.05,3490.15,3490.15,3511.25,460,9156,31949011.00,
500493,BHARAT FORGE,A ,Q,467.15,472.35,455.95,465.50,465.50,467.10,1461,73624,34256695.00,
500495,ESCORTS LTD.,A ,Q,592.00,610.25,584.05,606.95,606.95,599.05,3185,153008,91856133.00,
500500,HIND.MOTORS ,T ,Q,7.30,7.30,6.90,7.03,7.00,7.13,29,7236,51446.00,
500510,LARSEN & TOU,A ,Q,1565.00,1570.10,1546.85,1559.30,1559.30,1557.95,4536,125803,195774622.00,
500520,MAH & MAH   ,A ,Q,648.50,658.65,635.10,653.90,654.55,647.10,6107,22212084,14393303814.00,
500530,BOSCH LTD   ,A ,Q,17663.95,17845.00,17375.00,17415.55,17455.00,17680.55,310,675,11818353.00,
500547,BHARAT PET. ,A ,Q,416.00,419.50,411.00,415.80,415.80,409.15,2149,177457,73644352.00,
500550,SIEMENS LTD.,A ,Q,1271.10,1287.75,1257.30,1278.25,1275.00,1271.65,962,48119,61003962.00,
500570,TATA MOTORS ,A ,Q,170.00,175.10,168.60,174.55,174.55,172.50,7514,1562623,270010035.00,
500575,VOLTAS LTD  ,A ,Q,584.00,594.00,579.00,590.90,588.00,578.90,1120,54529,32072304.00,
500620,GREAT EASTE ,A ,Q,281.00,290.00,280.70,281.40,281.50,280.45,328,6111,1734473.00,
500645,DEEPAK FERT.,A ,Q,141.00,145.60,139.75,142.90,142.90,140.30,761,42706,6116563.00,
500650,EXCEL INDUST,B ,Q,1080.00,1117.05,1080.00,1101.20,1104.00,1107.45,50,581,641318.00,
500655,GARWARE POLY,X ,Q,246.25,250.00,245.05,246.95,247.00,246.20,154,20337,5038152.00,
500660,GLAXOSMITH  ,A ,Q,1280.95,1280.95,1250.00,1270.15,1267.00,1268.30,284,2678,3388413.00,
500670,GUJ.NARMADA ,A ,Q,294.50,294.50,286.95,287.60,287.60,292.45,896,46986,13581480.00,
500672,NOVARTIS    ,B ,Q,685.10,697.00,680.00,683.20,683.20,694.40,583,10735,7390563.00,
500674,SANOFI      ,A ,Q,5467.45,5500.00,5424.00,5436.05,5436.05,5479.80,113,171,933549.00,
