SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
800259,SGB2016IIIA ,G ,B,2975.00,3000.10,2975.00,2995.50,2995.50,2975.00,10,48,143098.00,
800268,SGBMAY25    ,G ,B,2970.00,2970.00,2960.09,2960.09,2960.09,2936.00,2,20,59211.00,
800269,SGBJULY25   ,G ,B,3020.00,3020.00,3020.00,3020.00,3020.00,2955.00,1,10,30200.00,
800287,SGBMAY26    ,G ,B,2940.00,2940.00,2940.00,2940.00,2940.00,2920.00,1,5,14700.00,
890144,TATASTEELPP ,A ,Q,64.80,68.80,64.30,66.75,66.75,64.85,1362,244133,16325339.00,
890145,IBVENTUREPP ,B ,Q,170.00,190.00,164.10,184.25,184.25,173.75,163,623501,106240867.00,
934784,LTFINNCDIV  ,F ,D,1018.00,1018.00,1018.00,1018.00,1018.00,1012.21,2,20,20360.00,
934920,0STFC20VI   ,F ,D,1875.00,1875.00,1860.00,1868.34,1860.00,1907.50,6,150,280250.00,
934950,0MFL19K     ,F ,D,1896.00,1896.00,1896.00,1896.00,1896.00,1896.31,3,16,30336.00,
935016,IIFLHFL202  ,F ,D,1009.00,1009.00,1008.00,1009.00,1009.00,1014.99,12,401,404608.00,
935088,12ECL20I    ,F ,D,1004.00,1004.00,1004.00,1004.00,1004.00,1004.00,1,50,50200.00,
935098,1025MFL19D  ,F ,D,997.00,997.00,997.00,997.00,997.00,985.00,1,600,598200.00,
935136,971STFC21   ,F ,D,1015.00,1015.00,1015.00,1015.00,1015.00,1011.00,1,50,50750.00,
935140,0STFC2019   ,F ,D,1640.00,1640.00,1640.00,1640.00,1640.00,1675.00,1,500,820000.00,
935142,0STFC2021   ,F ,D,1736.00,1736.00,1736.00,1736.00,1736.00,1725.01,2,2,3472.00,
935310,BLUENCDSR3  ,F ,D,10.69,10.69,10.57,10.57,10.57,10.06,2,350,3723.00,
935321,990IFCI24F  ,F ,D,1011.05,1011.05,1010.00,1010.06,1010.00,1005.00,8,450,454904.00,
935383,849NTPC25   ,F ,D,12.84,12.86,12.83,12.85,12.85,12.86,30,8097,104002.00,
935451,1025SEFL20H ,F ,D,980.00,980.00,980.00,980.00,980.00,980.00,1,10,9800.00,
935506,736PFC25    ,F ,D,1084.09,1090.00,1084.09,1090.00,1090.00,1084.00,2,2,2174.00,
935514,760PFC35    ,F ,D,1170.00,1175.00,1170.00,1175.00,1175.00,1175.00,10,437,511780.00,
935540,714REC25    ,F ,D,1070.00,1070.00,1070.00,1070.00,1070.00,1065.03,1,50,53500.00,
935574,753IRFC30   ,F ,D,1135.16,1135.16,1135.08,1135.08,1135.08,1148.99,3,554,628875.00,
935576,750IRFC35   ,F ,D,1158.00,1161.00,1158.00,1158.00,1158.00,1158.00,13,720,835260.00,
935584,76NHAI31    ,F ,D,1118.60,1118.60,1118.60,1118.60,1118.60,1122.92,1,320,357952.00,
935616,753IREDA26  ,F ,D,1069.05,1089.88,1069.00,1072.64,1072.10,1085.00,5,144,154060.00,
935642,764HUDCO31  ,F ,D,1133.00,1134.00,1133.00,1133.61,1134.00,1125.00,3,155,175710.00,
935664,739NHAI31A  ,F ,D,1145.99,1145.99,1145.99,1145.99,1145.99,1127.05,2,1980,2269060.00,
935674,769HUDCO31  ,F ,D,1149.00,1149.00,1149.00,1149.00,1149.00,1154.00,1,1,1149.00,
935682,764IRFC31   ,F ,D,1151.00,1151.00,1151.00,1151.00,1151.00,1151.50,1,500,575500.00,
935688,729NABARD26 ,F ,D,1053.01,1055.05,1052.00,1055.05,1055.05,1047.00,5,1032,1085970.00,
935690,764NABARD31 ,F ,D,1115.00,1130.00,1115.00,1120.00,1120.00,1132.00,8,441,493772.00,
935740,872MMFSL26  ,F ,D,970.00,970.00,970.00,970.00,970.00,1000.00,2,200,194000.00,
935752,9MMFSL26    ,F ,D,1004.11,1005.45,1004.00,1004.50,1004.50,1004.47,6,699,702404.00,
935788,10EHFL26    ,F ,D,1045.00,1045.00,1045.00,1045.00,1045.00,1034.98,1,100,104500.00,
935802,893DHFL26B  ,F ,D,670.00,670.00,651.00,651.00,651.00,691.00,3,20,13210.00,
935806,920DHFL19B  ,F ,D,981.00,981.00,933.00,933.00,933.00,946.60,4,70,65526.00,
935810,925DHFL21B  ,F ,D,670.00,700.10,670.00,700.10,700.10,655.05,3,12,8341.00,
935818,0DHFL19B    ,F ,D,1220.00,1220.00,1220.00,1220.00,1220.00,1205.00,1,1,1220.00,
